run,Ps3,Ps4,BCM1I,BCM2I,BCM4AI,BCM4CI,BCM1Q,BCM2Q,BCM4AQ,BCM4CQ,Ps3HMSCLT,Ps4HMSCLT,trkEff,hTRIG3,hTRIG4
5421.0,-1.0,1.0,6.069,6.076,6.026,6.99,7502.348,7511.399,7449.229,8641.07,-0.4431,0.9998,0.9973,1670795.0,739501.0
2885.0,-1.0,-1.0,37.461,37.516,37.431,38.013,53733.406,53813.506,53691.369,54526.333,-0.3631,-0.891,0.0,220665.0,67330.0
2363.0,-1.0,-1.0,113.802,85.899,63.335,416.197,894864.078,675450.001,498026.991,3272699.616,-0.001,-0.001,0.9976,4308333614.0,4304480013.0
4536.0,-1.0,1.0,9.82,9.932,9.909,11.61,19559.414,19781.627,19736.557,23123.788,-0.7125,0.989,0.9951,809081.0,577456.0
3992.0,-1.0,-1.0,35.932,36.105,35.966,41.91,122287.699,122873.572,122402.937,142629.656,-0.3443,-0.5243,0.9967,23470073.0,15410410.0
3837.0,-1.0,-1.0,9.879,9.892,9.887,11.605,23210.842,23242.625,23231.076,27267.375,-0.0413,-0.0492,0.9952,11398811.0,9570911.0
4493.0,-1.0,2.0,36.342,36.405,36.549,42.882,34591.846,34651.99,34788.929,40817.193,-0.3412,0.998,0.9952,1331753.0,910078.0
2920.0,-1.0,-1.0,37.202,37.391,37.324,37.92,133216.622,133893.167,133654.287,135789.038,-0.1315,-0.5263,0.0,462630.0,46905.0
5584.0,-1.0,1.0,9.966,9.909,9.811,13.951,16773.5,16678.447,16512.802,23480.933,-0.1803,0.9998,0.9963,1850068.0,327311.0
4258.0,1.0,-1.0,19.393,19.601,19.584,22.968,23046.0,23293.16,23272.298,27294.711,0.9997,-1.0015,0.9958,901252.0,628885.0
1691.0,-1.0,-1.0,13.586,14.128,14.055,14.078,34363.184,35734.373,35551.464,35609.076,-0.0616,-0.0748,0.9971,45353704.0,37316719.0
6076.0,-1.0,1.0,15.315,15.256,15.032,21.344,24736.761,24640.916,24279.449,34473.615,-0.2436,0.9957,0.9968,4476588.0,1089893.0
1734.0,-1.0,-1.0,26.461,27.748,27.742,27.765,34827.055,36521.997,36513.385,36544.238,-0.0544,-0.0687,0.9971,17104526.0,13543495.0
3007.0,-1.0,-1.0,4.023,4.041,4.013,4.506,4874.824,4896.649,4862.172,5459.402,-0.1859,-0.2997,0.9976,3794208.0,2352606.0
5652.0,-1.0,1.0,17.557,17.474,17.335,24.742,12343.613,12285.272,12187.552,17395.252,-0.2602,1.0,0.9965,315810.0,80500.0
2110.0,-1.0,-1.0,13.334,14.047,14.043,14.063,36535.847,38489.388,38477.075,38530.775,-0.1121,-0.138,0.9975,25895929.0,21028510.0
4745.0,-1.0,1.0,7.68,7.739,7.684,8.956,8523.68,8589.582,8528.494,9939.377,-0.2491,0.9999,0.9973,1220477.0,301820.0
3769.0,-1.0,-1.0,28.231,28.291,28.43,33.39,23537.795,23588.09,23703.981,27839.576,-0.4097,-0.7129,0.9935,5351086.0,3071529.0
6205.0,-1.0,1.0,19.797,19.708,19.458,27.671,14030.546,13967.603,13790.012,19611.13,-0.5789,0.9941,0.9958,1187725.0,689734.0
5099.0,-1.0,-1.0,7.111,7.072,6.984,8.064,240.661,239.348,236.371,272.9,-0.1706,-0.3701,0.9963,376909.0,173745.0
2785.0,-1.0,-1.0,16.417,16.374,16.237,16.466,12208.983,12176.774,12074.849,12244.956,-0.0821,-0.1206,0.9973,946625.0,644160.0
4075.0,-1.0,-1.0,14.864,14.872,14.817,17.357,13092.987,13100.255,13051.366,15288.927,-0.0716,-0.0993,0.9963,2726371.0,1965966.0
3737.0,-1.0,-1.0,28.287,28.334,28.425,33.352,13834.144,13857.101,13901.747,16311.399,-0.2198,-0.3387,0.9953,2609666.0,1692037.0
1991.0,-1.0,-1.0,14.263,14.26,14.188,14.22,39188.262,39180.899,38983.215,39070.882,-0.1842,-0.2549,0.9975,8132196.0,5871923.0
6490.0,-1.0,1.0,10.901,10.855,10.712,15.194,12341.354,12288.997,12127.582,17202.05,-0.0943,0.9984,0.9874,6647477.0,624774.0
1834.0,-1.0,-1.0,18.51,18.497,18.409,18.466,45409.45,45376.616,45161.289,45300.59,-0.2018,-0.28,0.9973,9541918.0,6876118.0
3059.0,-1.0,1.0,7.415,7.463,7.395,8.472,1976.273,1989.047,1971.031,2258.094,-0.5631,0.9064,0.9976,1566599.0,969143.0
4845.0,-1.0,1.0,7.883,7.972,7.933,9.237,15505.91,15682.121,15604.317,18170.221,-0.2072,0.9989,0.995,8315412.0,1721232.0
6028.0,-1.0,1.0,4.107,4.082,4.031,5.607,4639.176,4610.619,4552.699,6332.998,-0.2052,0.9983,0.9967,3305483.0,677788.0
5952.0,-1.0,1.0,4.059,4.033,3.991,5.544,6429.801,6389.021,6322.202,8781.457,-0.0436,0.9885,0.9936,57613598.0,2534383.0
2453.0,-1.0,-1.0,13.272,14.095,13.97,14.119,2505.048,2660.516,2636.905,2664.984,-0.3051,-0.4277,0.9974,724784.0,516691.0
4206.0,-1.0,-1.0,37.52,37.576,37.642,44.18,138719.125,138925.058,139168.205,163343.021,-0.2206,-0.2934,0.9951,11181629.0,8402082.0
5311.0,-1.0,1.0,19.009,19.055,18.899,22.151,31739.091,31814.933,31554.303,36985.284,-0.4312,0.9977,0.9969,7093343.0,3063456.0
3869.0,-1.0,-1.0,14.445,14.43,14.368,16.811,49891.747,49840.098,49625.551,58064.499,-0.0929,-0.1133,0.995,63455518.0,52036077.0
4568.0,-1.0,3.0,19.719,19.741,19.716,23.097,18696.242,18717.178,18693.874,21899.269,-0.21,0.9981,0.9957,1911447.0,1206697.0
6116.0,-1.0,1.0,15.944,15.896,15.682,22.296,27446.868,27363.128,26994.658,38380.009,-0.2424,0.996,0.9965,4972538.0,1208429.0
4338.0,-1.0,1.0,19.21,19.186,19.029,22.199,68707.056,68621.373,68060.131,79397.04,-0.6292,0.9896,0.9966,7056289.0,4483710.0
3957.0,-1.0,-1.0,14.477,14.452,14.338,16.72,11836.017,11815.598,11721.668,13669.251,-0.2773,-0.3893,0.997,3217954.0,2279396.0
2840.0,-1.0,-1.0,31.595,31.544,31.434,31.896,104411.102,104242.262,103879.117,105405.154,-0.2115,-0.2804,0.9974,8958664.0,6750208.0
5541.0,-1.0,1.0,10.167,10.094,9.944,14.105,18195.42,18065.676,17796.541,25243.323,-0.1778,0.9999,0.9969,2005210.0,352386.0
4456.0,-1.0,1.0,19.562,19.55,19.463,22.767,69874.329,69834.231,69522.965,81325.252,-0.6325,0.997,0.9966,7166560.0,4544635.0
2203.0,-1.0,-1.0,13.085,13.722,13.684,13.681,15742.42,16508.588,16463.362,16459.941,-0.2023,-0.3372,0.9978,3766890.0,2255182.0
6365.0,1e+38,1e+38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e+36,1e+36,0.0,0.0,0.0
1582.0,-1.0,-1.0,9.658,9.659,9.601,9.618,33266.247,33267.699,33070.169,33127.198,-0.1716,-0.175,0.9974,41609589.0,34104293.0
4780.0,-1.0,1.0,200.508,148.127,106.01,760.307,850117.655,628033.13,449462.912,3223570.992,-0.0,0.0,0.0,4294964966.0,4294965089.0
5697.0,-1.0,1.0,10.221,10.167,10.076,14.335,18154.255,18057.842,17896.481,25462.218,-0.177,0.9997,0.9961,2000753.0,352963.0
5732.0,-1.0,1.0,9.92,9.857,9.725,13.784,8053.143,8001.666,7894.462,11189.921,-0.2103,0.9999,0.9968,890011.0,156223.0
3167.0,-1.0,-1.0,5.943,5.937,5.867,6.682,7261.574,7254.4,7168.829,8164.675,-0.0971,-0.1273,0.9978,3473829.0,2648604.0
4625.0,-1.0,1.0,4.808,4.863,4.82,5.588,6818.352,6896.734,6835.165,7924.857,-0.277,1.0,0.9971,984725.0,260503.0
2070.0,-1.0,-1.0,9.628,9.678,9.638,9.654,12167.091,12229.407,12179.281,12199.576,-0.0122,-0.0153,0.9974,21015316.0,16678666.0
3139.0,-1.0,-1.0,14.229,28.185,14.14,16.206,43098.343,85370.577,42828.85,49086.78,-0.2989,-0.3942,0.9975,21017580.0,15933274.0
1954.0,-1.0,-1.0,27.083,27.116,27.072,27.118,61124.228,61197.001,61097.695,61202.192,-0.1361,-0.1798,0.9975,5247362.0,3970669.0
6455.0,-1.0,1.0,6.009,5.965,5.875,8.267,7671.953,7615.302,7501.184,10554.695,-0.2761,0.9993,0.9974,1628498.0,435197.0
4115.0,-1.0,-1.0,14.777,14.787,14.746,17.291,50418.079,50449.746,50309.687,58994.067,-0.3819,-0.529,0.9958,10493665.0,7574892.0
5002.0,-1.0,-1.0,6.799,6.859,6.766,7.827,13845.992,13968.345,13779.674,15940.899,-0.2129,-0.464,0.9966,22000741.0,10094767.0
4408.0,-1.0,1.0,19.508,19.504,19.405,22.691,72711.597,72696.194,72328.933,84577.374,-0.6326,0.998,0.9964,7458915.0,4726546.0
