run,		Ps3,		Ps4,		BCM1I,		BCM2I,		BCM4AI,		BCM4CI,		BCM1Q,		BCM2Q,		BCM4AQ,		BCM4CQ,		Ps3HMSCLT,		Ps4HMSCLT,		trkEff,		hTRIG3,		hTRIG4
6073,		-1,		1,		15.996,		15.933,		15.704,		22.305,		27500.511,		27391.229,		26998.275,		38346.723,		-0.2417,		0.9929,		0.9968,		4977338,		1209594
5909,		-1,		1,		7.15,		7.108,		7.035,		9.947,		9420.436,		9365.108,		9269.184,		13105.416,		-0.1744,		0.9942,		0.9972,		6128183,		1056639
5581,		-1,		1,		10.164,		10.106,		9.987,		14.2,		17615.338,		17513.927,		17308.937,		24609.564,		-0.1797,		0.9999,		0.9969,		1941091,		341627
5424,		-1,		1,		14.295,		14.294,		14.223,		16.663,		4851.196,		4850.572,		4826.75,		5654.726,		-0.4307,		0.9855,		0.9972,		1081853,		468042
3997,		-1,		1,		18.62,		18.727,		18.648,		21.762,		19914.496,		20028.936,		19943.815,		23275.14,		-0.6578,		0.9953,		0.9966,		3873835,		2558469
6200,		-1,		1,		18.744,		18.65,		18.426,		26.202,		31650.205,		31492.735,		31113.512,		44245.396,		-0.5252,		0.9989,		0.996,		1171251,		613334
5657,		-1,		1,		9.486,		9.437,		9.356,		13.303,		15254.228,		15175.218,		15044.934,		21393.049,		-0.185,		0.9999,		0.9966,		1682212,		300416
4740,		-1,		1,		11.485,		11.606,		11.56,		13.5,		19892.824,		20103.403,		20023.446,		23383.632,		-0.2396,		0.9997,		0.9967,		2833801,		676389
2115,		3,		-1,		14.268,		14.294,		14.293,		14.314,		58.715,		58.82,		58.817,		58.904,		0.9983,		-0.3349,		0.9968,		39948,		32403
5609,		-1,		1,		17.89,		17.8,		17.63,		25.144,		28930.899,		28785.421,		28510.197,		40661.601,		-0.1692,		1.0,		0.9965,		1503079,		252276
6495,		-1,		1,		6.233,		6.188,		6.088,		8.57,		10692.554,		10615.086,		10443.744,		14702.563,		-0.0852,		0.9977,		0.9869,		8743070,		744066
6530,		-1,		1,		11.023,		10.942,		10.789,		15.314,		18800.971,		18663.602,		18401.636,		26119.637,		-0.3058,		0.9984,		0.9962,		3232125,		987959
6743,		-1,		1,		10.198,		10.201,		10.02,		14.195,		17412.837,		17417.304,		17108.149,		24236.597,		-0.1761,		0.9999,		0.9969,		1947897,		338788
5314,		-1,		1,		9.84,		9.844,		9.745,		11.413,		17133.899,		17141.152,		16968.466,		19873.342,		-0.4367,		0.9995,		0.9971,		3826846,		1671722
6188,		-1,		1,		29.725,		29.589,		29.248,		41.632,		56581.141,		56322.244,		55671.82,		79245.548,		-0.6571,		0.9979,		0.9965,		1624430,		1069569
4840,		-1,		1,		7.926,		8.016,		7.973,		9.289,		14561.755,		14725.895,		14648.094,		17065.415,		-0.2064,		0.9982,		0.9949,		7808780,		1613017
5957,		-1,		1,		4.037,		4.011,		3.972,		5.517,		6991.105,		6945.927,		6877.126,		9553.746,		-0.149,		0.9893,		0.9971,		18117213,		2712223
5544,		-1,		1,		10.203,		10.13,		9.981,		14.165,		18403.193,		18272.462,		18002.72,		25550.339,		-0.1776,		0.9999,		0.9975,		2027829,		357026
2845,		-1,		1,		22.952,		22.9,		22.802,		23.14,		54607.526,		54483.462,		54251.507,		55054.548,		-0.7566,		0.9967,		0.9973,		4699155,		3566745
6113,		-1,		1,		15.904,		15.835,		15.618,		22.212,		26071.646,		25959.453,		25603.583,		36412.868,		-0.2435,		0.9972,		0.9964,		4717594,		1146848
