kin25-1		hms	6.371	1.734	25.130
kin25-4		hms	10.537	4.149	15.2
kin36-1		hms	6.367	1.956	28.340
kin36-2		hms	8.456	4.042	17.01
kin36-2p		hms	8.456	4.042	17.01
kin36-2pp	hms	8.456	4.042	17.01
kin36-3		hms	10.539	6.117	12.385
kin36-4		hms	8.4550	2.562	24.775
kin36-5		hms	10.539	4.637	16.435
kin36-5p		hms	10.537	4.637	16.435
kin36-6		hms	10.537	2.416	26.85
kin50-0		hms	6.368	2.638	25.940
kin50-0a		hms	6.368	2.638	25.940
kin50-0b		hms	6.368	2.638	25.939
kin50-1		hms	8.454	4.726	16.746
kin50-1p		hms	8.454	4.726	16.746
kin50-2		hms	10.539	6.667	12.505
kin50-2p		hms	10.539	6.667	12.495
kin50-2pp	hms	10.539	6.667	12.515
kin50-3p		hms	10.539	5.253	16.917
kin50-3pp	hms	10.539	5.253	16.917
kin50-4		hms	10.538	5.253	16.917
kin60-1		hms	6.368	1.719	39.808
kin60-2		hms	8.455	3.803	22.934
kin60-2p		hms	8.455	3.803	22.934
kin60-2b		hms	8.457	3.805	22.935
kin60-3		hms	10.538	5.878	16.489
kin60-3p		hms	10.539	5.878	16.483
kin60-3a		hms	10.538	5.878	16.480
kin60-3b		hms	10.539	5.878	16.483
kin60-4a		hms	10.539	5.038	19.348
kin60-4b		hms	10.538	5.038	19.348
